"site","transect","position","year","seedlingNumber","fruitplNumber"
"BG","II",5,2014,0,0
"BG","II",5,2015,1,0
"BG","II",5,2016,0,0
"BG","II",5,2017,3,0
"BG","II",5,2018,0,0
"BG","II",5,2019,17,5
"BG","II",5,2020,13,1
"BG","II",5,2021,2,0
"BG","II",6,2006,13,0
"BG","II",6,2007,2,0
"BG","II",6,2008,0,0
"BG","II",6,2009,4,0
"BG","II",6,2010,5,0
"BG","II",6,2011,7,1
"BG","II",6,2012,1,0
"BG","II",6,2013,16,0
"BG","II",6,2014,0,0
"BG","II",6,2015,18,0
"BG","II",6,2016,0,0
"BG","II",6,2017,12,0
"BG","II",6,2018,0,0
"BG","II",6,2019,105,5
"BG","II",6,2020,21,6
"BG","II",6,2021,0,0
"BG","II",7,2006,24,2
"BG","II",7,2007,1,0
"BG","II",7,2008,0,0
"BG","II",7,2009,7,3
"BG","II",7,2010,9,3
"BG","II",7,2011,13,5
"BG","II",7,2012,1,1
"BG","II",7,2013,12,0
"BG","II",7,2014,1,0
"BG","II",7,2015,7,0
"BG","II",7,2016,0,0
"BG","II",7,2017,41,6
"BG","II",7,2018,0,2
"BG","II",7,2019,37,2
"BG","II",7,2020,16,7
"BG","II",7,2021,0,0
"BG","II",8,2006,NA,0
"BG","II",8,2007,1,0
"BG","II",8,2008,1,1
"BG","II",8,2009,9,1
"BG","II",8,2010,16,7
"BG","II",8,2011,3,1
"BG","II",8,2012,2,0
"BG","II",8,2013,1,0
"BG","II",8,2014,0,0
"BG","II",8,2015,0,0
"BG","II",8,2016,0,0
"BG","II",8,2017,0,0
"BG","II",8,2018,0,0
"BG","II",8,2019,15,3
"BG","II",8,2020,10,2
"BG","II",8,2021,2,2
"BG","III",1,2006,13,11
"BG","III",1,2007,2,6
"BG","III",1,2008,76,26
"BG","III",1,2009,179,1
"BG","III",1,2010,4,2
"BG","III",1,2011,25,3
"BG","III",1,2012,3,0
"BG","III",1,2013,11,0
"BG","III",1,2014,0,0
"BG","III",1,2015,13,0
"BG","III",1,2016,0,0
"BG","III",1,2017,0,0
"BG","III",1,2018,0,0
"BG","III",1,2019,8,5
"BG","III",1,2020,89,0
"BG","III",1,2021,0,0
"BG","III",2,2006,3,1
"BG","III",2,2007,0,2
"BG","III",2,2008,40,7
"BG","III",2,2009,60,0
"BG","III",2,2010,10,9
"BG","III",2,2011,34,6
"BG","III",2,2012,5,0
"BG","III",2,2013,61,0
"BG","III",2,2014,0,0
"BG","III",2,2015,7,0
"BG","III",2,2016,0,0
"BG","III",2,2017,0,0
"BG","III",2,2018,0,0
"BG","III",2,2019,60,13
"BG","III",2,2020,326,6
"BG","III",2,2021,0,0
"BG","III",3,2006,2,0
"BG","III",3,2007,3,0
"BG","III",3,2008,2,1
"BG","III",3,2009,7,0
"BG","III",3,2010,2,1
"BG","III",3,2011,6,0
"BG","III",3,2012,0,0
"BG","III",3,2013,6,0
"BG","III",3,2014,0,0
"BG","III",3,2015,3,0
"BG","III",3,2016,0,0
"BG","III",3,2017,0,0
"BG","III",3,2018,0,0
"BG","III",3,2019,80,0
"BG","III",3,2020,50,0
"BG","III",3,2021,0,0
"BG","III",4,2006,11,0
"BG","III",4,2007,3,2
"BG","III",4,2008,11,3
"BG","III",4,2009,56,2
"BG","III",4,2010,32,22
"BG","III",4,2011,61,2
"BG","III",4,2012,3,0
"BG","III",4,2013,48,1
"BG","III",4,2014,4,2
"BG","III",4,2015,118,0
"BG","III",4,2016,0,0
"BG","III",4,2017,10,1
"BG","III",4,2018,0,0
"BG","III",4,2019,12,2
"BG","III",4,2020,199,4
"BG","III",4,2021,1,1
"BG","III",5,2006,2,0
"BG","III",5,2007,8,3
"BG","III",5,2008,25,11
"BG","III",5,2009,114,1
"BG","III",5,2010,14,4
"BG","III",5,2011,38,5
"BG","III",5,2012,3,0
"BG","III",5,2013,4,0
"BG","III",5,2014,0,0
"BG","III",5,2015,6,0
"BG","III",5,2016,3,2
"BG","III",5,2017,68,0
"BG","III",5,2018,0,1
"BG","III",5,2019,44,6
"BG","III",5,2020,19,0
"BG","III",5,2021,5,3
"BG","III",6,2006,NA,0
"BG","III",6,2007,7,3
"BG","III",6,2008,18,1
"BG","III",6,2009,14,2
"BG","III",6,2010,28,11
"BG","III",6,2011,14,0
"BG","III",6,2012,2,0
"BG","III",6,2013,22,2
"BG","III",6,2014,0,0
"BG","III",6,2015,7,0
"BG","III",6,2016,0,0
"BG","III",6,2017,94,1
"BG","III",6,2018,3,6
"BG","III",6,2019,89,1
"BG","III",6,2020,26,2
"BG","III",6,2021,1,0
"BG","III",7,2006,NA,0
"BG","III",7,2007,2,0
"BG","III",7,2008,7,0
"BG","III",7,2009,30,8
"BG","III",7,2010,83,13
"BG","III",7,2011,19,0
"BG","III",7,2012,3,2
"BG","III",7,2013,24,3
"BG","III",7,2014,0,0
"BG","III",7,2015,6,0
"BG","III",7,2016,1,0
"BG","III",7,2017,20,1
"BG","III",7,2018,6,4
"BG","III",7,2019,58,20
"BG","III",7,2020,153,5
"BG","III",7,2021,7,2
"BG","IV",1,2006,2,0
"BG","IV",1,2007,4,1
"BG","IV",1,2008,17,7
"BG","IV",1,2009,200,0
"BG","IV",1,2010,7,4
"BG","IV",1,2011,51,0
"BG","IV",1,2012,4,2
"BG","IV",1,2013,3,0
"BG","IV",1,2014,0,0
"BG","IV",1,2015,6,0
"BG","IV",1,2016,0,0
"BG","IV",1,2017,0,0
"BG","IV",1,2018,0,0
"BG","IV",1,2019,0,0
"BG","IV",1,2020,0,0
"BG","IV",1,2021,0,0
"BG","IV",2,2006,1,0
"BG","IV",2,2007,0,0
"BG","IV",2,2008,0,0
"BG","IV",2,2009,4,0
"BG","IV",2,2010,0,0
"BG","IV",2,2011,70,0
"BG","IV",2,2012,0,0
"BG","IV",2,2013,0,0
"BG","IV",2,2014,0,0
"BG","IV",2,2015,0,0
"BG","IV",2,2016,0,0
"BG","IV",2,2017,0,0
"BG","IV",2,2018,0,0
"BG","IV",2,2019,0,0
"BG","IV",2,2020,0,0
"BG","IV",2,2021,0,0
"BG","IV",3,2006,7,0
"BG","IV",3,2007,0,0
"BG","IV",3,2008,0,0
"BG","IV",3,2009,0,0
"BG","IV",3,2010,0,0
"BG","IV",3,2011,0,0
"BG","IV",3,2012,0,0
"BG","IV",3,2013,0,0
"BG","IV",3,2014,0,0
"BG","IV",3,2015,2,0
"BG","IV",3,2016,0,0
"BG","IV",3,2017,0,0
"BG","IV",3,2018,0,0
"BG","IV",3,2019,0,0
"BG","IV",3,2020,0,0
"BG","IV",3,2021,0,0
"BG","IV",4,2006,0,0
"BG","IV",4,2007,0,0
"BG","IV",4,2008,0,0
"BG","IV",4,2009,2,0
"BG","IV",4,2010,1,0
"BG","IV",4,2011,1,1
"BG","IV",4,2012,0,0
"BG","IV",4,2013,0,0
"BG","IV",4,2014,0,0
"BG","IV",4,2015,0,0
"BG","IV",4,2016,0,0
"BG","IV",4,2017,0,0
"BG","IV",4,2018,0,0
"BG","IV",4,2019,0,0
"BG","IV",4,2020,0,0
"BG","IV",4,2021,0,0
"BG","IV",5,2006,33,3
"BG","IV",5,2007,33,1
"BG","IV",5,2008,27,1
"BG","IV",5,2009,30,1
"BG","IV",5,2010,14,1
"BG","IV",5,2011,16,8
"BG","IV",5,2012,0,0
"BG","IV",5,2013,6,0
"BG","IV",5,2014,0,0
"BG","IV",5,2015,4,0
"BG","IV",5,2016,0,0
"BG","IV",5,2017,0,0
"BG","IV",5,2018,0,0
"BG","IV",5,2019,1,0
"BG","IV",5,2020,5,0
"BG","IV",5,2021,1,0
"BG","IV",6,2006,NA,0
"BG","IV",6,2007,0,0
"BG","IV",6,2008,0,0
"BG","IV",6,2009,1,0
"BG","IV",6,2010,1,0
"BG","IV",6,2011,0,0
"BG","IV",6,2012,0,0
"BG","IV",6,2013,4,0
"BG","IV",6,2014,0,0
"BG","IV",6,2015,8,0
"BG","IV",6,2016,0,0
"BG","IV",6,2017,0,0
"BG","IV",6,2018,0,0
"BG","IV",6,2019,1,0
"BG","IV",6,2020,0,0
"BG","IV",6,2021,0,0
"BG","IV",7,2006,NA,0
"BG","IV",7,2007,0,0
"BG","IV",7,2008,0,0
"BG","IV",7,2009,0,0
"BG","IV",7,2010,0,0
"BG","IV",7,2011,0,0
"BG","IV",7,2012,0,0
"BG","IV",7,2013,0,0
"BG","IV",7,2014,0,0
"BG","IV",7,2015,2,0
"BG","IV",7,2016,0,0
"BG","IV",7,2017,0,0
"BG","IV",7,2018,0,0
"BG","IV",7,2019,7,0
"BG","IV",7,2020,4,0
"BG","IV",7,2021,0,0
"BG","IV",8,2006,NA,0
"BG","IV",8,2007,0,0
"BG","IV",8,2008,0,0
"BG","IV",8,2009,0,0
"BG","IV",8,2010,0,0
"BG","IV",8,2011,0,0
"BG","IV",8,2012,0,0
"BG","IV",8,2013,0,0
"BG","IV",8,2014,0,0
"BG","IV",8,2015,0,0
"BG","IV",8,2016,0,0
"BG","IV",8,2017,0,0
"BG","IV",8,2018,0,0
"BG","IV",8,2019,0,0
"BG","IV",8,2020,0,0
"BG","IV",8,2021,0,0
"BR","I",1,2006,1,0
"BR","I",1,2007,1,0
"BR","I",1,2008,3,0
"BR","I",1,2009,17,4
"BR","I",1,2010,7,2
"BR","I",1,2011,24,9
"BR","I",1,2012,106,11
"BR","I",1,2013,78,2
"BR","I",1,2014,0,0
"BR","I",1,2015,47,0
"BR","I",1,2016,1,0
"BR","I",1,2017,13,2
"BR","I",1,2018,0,0
"BR","I",1,2019,84,41
"BR","I",1,2020,1106,4
"BR","I",1,2021,4,0
"BR","I",2,2006,0,0
"BR","I",2,2007,15,2
"BR","I",2,2008,9,0
"BR","I",2,2009,10,7
"BR","I",2,2010,8,4
"BR","I",2,2011,36,19
"BR","I",2,2012,128,10
"BR","I",2,2013,115,4
"BR","I",2,2014,0,0
"BR","I",2,2015,19,0
"BR","I",2,2016,0,0
"BR","I",2,2017,6,0
"BR","I",2,2018,4,7
"BR","I",2,2019,78,30
"BR","I",2,2020,825,2
"BR","I",2,2021,5,0
"BR","I",3,2006,9,3
"BR","I",3,2007,34,2
"BR","I",3,2008,11,2
"BR","I",3,2009,32,11
"BR","I",3,2010,22,34
"BR","I",3,2011,124,40
"BR","I",3,2012,234,8
"BR","I",3,2013,82,5
"BR","I",3,2014,0,1
"BR","I",3,2015,55,3
"BR","I",3,2016,0,0
"BR","I",3,2017,30,2
"BR","I",3,2018,0,5
"BR","I",3,2019,82,54
"BR","I",3,2020,1761,1
"BR","I",3,2021,1,0
"BR","I",4,2006,7,5
