"site","countFruitNumberPerPlant","permanentPlot","damage","year"
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",2,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",3,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",4,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
"BR",5,0,NA,2006
