"site","year","damaged","sdno"
"LCW",2006,0,79
"LO",2006,0,16
"LO",2006,0,18
"LO",2006,0,20
"LO",2006,0,21
"LO",2006,0,23
"LO",2006,0,24
"LO",2006,0,27
"LO",2006,0,27
"LO",2006,0,27
"LO",2006,0,29
"LO",2006,0,29
"LO",2006,0,30
"LO",2006,0,31
"LO",2006,0,32
"LO",2006,0,32
"LO",2006,0,34
"LO",2006,0,35
"LO",2006,0,35
"LO",2006,0,35
"LO",2006,0,36
"LO",2006,0,37
"LO",2006,0,38
"LO",2006,0,38
"LO",2006,0,39
"LO",2006,0,41
"LO",2006,0,43
"LO",2006,0,44
"LO",2006,0,46
"LO",2006,0,46
"LO",2006,0,48
"LO",2006,0,50
"LO",2006,0,51
"MC",2006,0,14
"MC",2006,0,22
"MC",2006,0,24
"MC",2006,0,26
"MC",2006,0,29
"MC",2006,0,33
"MC",2006,0,35
"MC",2006,0,39
"MC",2006,0,39
"MC",2006,0,41
"MC",2006,0,42
"MC",2006,0,46
"MC",2006,0,48
"MC",2006,0,48
"MC",2006,0,48
"MC",2006,0,50
"MC",2006,0,50
"MC",2006,0,50
"MC",2006,0,55
"MC",2006,0,57
"OKRE",2006,0,14
"OKRE",2006,0,17
"OKRE",2006,0,20
"OKRE",2006,0,25
"OKRE",2006,0,31
"OKRE",2006,0,31
"OKRE",2006,0,32
"OKRE",2006,0,33
"OKRE",2006,0,33
"OKRE",2006,0,34
"OKRE",2006,0,35
"OKRE",2006,0,35
"OKRE",2006,0,36
"OKRE",2006,0,40
"OKRE",2006,0,42
"OKRE",2006,0,45
"OKRE",2006,0,46
"OKRE",2006,0,47
"OKRE",2006,0,48
"OKRE",2006,0,49
"OKRW",2006,0,32
"OKRW",2006,0,33
"OKRW",2006,0,36
"OKRW",2006,0,39
"OKRW",2006,0,40
"OKRW",2006,0,41
"OKRW",2006,0,43
"OKRW",2006,0,48
"OKRW",2006,0,48
"OKRW",2006,0,48
"OKRW",2006,0,50
"OKRW",2006,0,51
"OKRW",2006,0,52
"OKRW",2006,0,54
"OKRW",2006,0,54
"OKRW",2006,0,55
"OKRW",2006,0,56
"OKRW",2006,0,62
"OKRW",2006,0,66
"OKRW",2006,0,67
"OSR",2006,0,26
"OSR",2006,0,27
"OSR",2006,0,33
"OSR",2006,0,34
"OSR",2006,0,40
"OSR",2006,0,40
"OSR",2006,0,45
"OSR",2006,0,45
"OSR",2006,0,49
"OSR",2006,0,50
"OSR",2006,0,53
"OSR",2006,0,54
"OSR",2006,0,54
"OSR",2006,0,54
"OSR",2006,0,55
"OSR",2006,0,56
"OSR",2006,0,57
"OSR",2006,0,58
"OSR",2006,0,59
"OSR",2006,0,71
"S22",2006,0,25
"S22",2006,0,27
"S22",2006,0,28
"S22",2006,0,32
"S22",2006,0,32
"S22",2006,0,32
"S22",2006,0,35
"S22",2006,0,37
"S22",2006,0,37
"S22",2006,0,38
"S22",2006,0,48
"S22",2006,0,51
"S22",2006,0,51
"S22",2006,0,55
"S22",2006,0,56
"S22",2006,0,57
"S22",2006,0,57
"S22",2006,0,57
"S22",2006,0,61
"S22",2006,0,69
"SM",2006,0,19
"SM",2006,0,20
"SM",2006,0,26
"SM",2006,0,33
"SM",2006,0,35
"SM",2006,0,35
"SM",2006,0,39
"SM",2006,0,41
"SM",2006,0,41
"SM",2006,0,42
"SM",2006,0,43
"SM",2006,0,43
"SM",2006,0,43
"SM",2006,0,46
"SM",2006,0,47
"SM",2006,0,48
"SM",2006,0,48
"SM",2006,0,53
"SM",2006,0,58
"SM",2006,0,65
"URS",2006,0,1
"URS",2006,0,1
"URS",2006,0,3
"URS",2006,0,5
"URS",2006,0,9
"URS",2006,0,12
"URS",2006,0,14
"URS",2006,0,19
"URS",2006,0,22
"URS",2006,0,22
"URS",2006,0,25
"URS",2006,0,29
"URS",2006,0,31
"URS",2006,0,36
"URS",2006,0,37
"URS",2006,0,42
"URS",2006,0,51
"URS",2006,0,66
"BG",2007,0,16
"BG",2007,0,19
"BG",2007,0,20
"BG",2007,0,22
"BG",2007,0,27
"BG",2007,0,29
"BG",2007,0,30
"BG",2007,0,31
"BG",2007,0,32
"BG",2007,0,35
"BG",2007,0,35
"BG",2007,0,35
"BG",2007,0,35
"BG",2007,0,36
"BG",2007,0,39
"BG",2007,0,39
"BG",2007,0,41
"BG",2007,0,42
"BG",2007,0,61
"BR",2007,0,0
"BR",2007,0,13
"BR",2007,0,14
"BR",2007,0,16
"BR",2007,0,18
"BR",2007,0,25
"BR",2007,0,27
"BR",2007,0,28
"BR",2007,0,29
"BR",2007,0,30
"BR",2007,0,31
"BR",2007,0,31
"BR",2007,0,31
"BR",2007,0,32
"BR",2007,0,33
"BR",2007,0,34
"BR",2007,0,34
"BR",2007,0,35
"BR",2007,0,35
"BR",2007,0,36
"BR",2007,0,37
"BR",2007,0,37
"BR",2007,0,38
"BR",2007,0,41
"BR",2007,0,41
"BR",2007,0,46
"BR",2007,0,51
"BR",2007,0,64
"BR",2007,0,68
"CF",2007,0,0
"CF",2007,0,2
"CF",2007,0,3
"CF",2007,0,8
"CF",2007,0,8
"CF",2007,0,10
"CF",2007,0,12
"CF",2007,0,13
"CF",2007,0,20
"CF",2007,0,20
"CF",2007,0,21
"CF",2007,0,21
"CF",2007,0,22
"CF",2007,0,23
"CF",2007,0,23
"CF",2007,0,24
"CF",2007,0,24
"CF",2007,0,26
"CF",2007,0,28
"CF",2007,0,29
"CF",2007,0,30
"CF",2007,0,30
"CF",2007,0,30
"CF",2007,0,31
"CF",2007,0,33
"CF",2007,0,34
"CF",2007,0,35
"CF",2007,0,35
"CF",2007,0,36
"CF",2007,0,37
"CF",2007,0,39
"CF",2007,0,39
"CF",2007,0,39
"CF",2007,0,39
"CF",2007,0,41
"CF",2007,0,41
"CF",2007,0,42
"CF",2007,0,43
"CF",2007,0,45
"CF",2007,0,45
"CF",2007,0,47
"CF",2007,0,48
"CF",2007,0,52
"CF",2007,0,59
"CF",2007,0,62
"CP3",2007,0,0
"CP3",2007,0,18
"CP3",2007,0,18
"CP3",2007,0,19
"CP3",2007,0,24
"CP3",2007,0,24
"CP3",2007,0,27
"CP3",2007,0,29
"CP3",2007,0,31
"CP3",2007,0,32
"CP3",2007,0,36
"CP3",2007,0,38
"CP3",2007,0,39
"CP3",2007,0,39
"CP3",2007,0,39
"CP3",2007,0,41
