"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"CF",66,3,1,14,15,14,1,0
"CF",67,3,1,2,12,11,1,0
"CF",68,3,1,7,15,15,0,NA
"CF",68,3,1,16,15,15,0,NA
"CF",69,3,1,9,15,14,1,0
"CF",69,3,1,17,15,13,2,0
"CF",70,3,1,8,7,6,1,0
"CP3",61,3,1,1,5,1,4,0
"CP3",62,3,1,3,15,13,2,1
"CP3",62,3,1,11,15,11,4,4
"CP3",63,3,1,6,15,6,9,5
"CP3",63,3,1,14,15,12,3,2
"CP3",64,3,1,7,15,9,6,3
"CP3",64,3,1,15,15,8,7,5
"CP3",65,3,1,9,15,13,2,0
"CP3",65,3,1,17,15,14,1,0
"CP3",66,3,1,8,15,11,4,4
"CP3",66,3,1,16,15,14,1,0
"CP3",68,3,1,5,15,7,6,2
"CP3",68,3,1,13,15,8,7,1
"CP3",69,3,1,2,15,12,3,1
"CP3",69,3,1,10,15,6,9,8
"CP3",70,3,1,4,15,7,8,7
"CP3",70,3,1,12,15,12,3,2
"DEM",61,3,1,8,15,5,10,10
"DEM",61,3,1,14,15,6,9,3
"DEM",62,3,1,6,15,6,9,8
"DEM",62,3,1,12,6,0,6,5
"DEM",63,3,1,7,15,13,2,1
"DEM",63,3,1,13,15,11,4,1
"DEM",64,3,1,9,15,6,9,8
"DEM",64,3,1,15,1,0,1,0
"DEM",65,3,1,1,2,1,1,1
"DEM",66,3,1,3,5,3,2,0
"DEM",67,3,1,4,12,6,6,1
"DEM",68,3,1,10,15,13,2,1
"DEM",68,3,1,16,15,11,4,0
"DEM",69,3,1,2,9,7,2,0
"DEM",70,3,1,5,15,12,3,1
"DEM",70,3,1,11,15,13,2,2
"DLW",61,3,1,2,15,14,1,1
"DLW",61,3,1,11,15,9,6,3
"DLW",62,3,1,5,15,12,2,0
"DLW",62,3,1,14,15,13,2,0
"DLW",63,3,1,3,15,14,1,0
"DLW",63,3,1,12,15,14,1,0
"DLW",64,3,1,4,15,10,5,5
"DLW",64,3,1,13,15,13,2,2
"DLW",65,3,1,9,15,9,6,5
"DLW",65,3,1,17,15,10,5,3
"DLW",66,3,1,6,15,8,7,3
"DLW",66,3,1,15,15,12,3,3
"DLW",67,3,1,7,15,0,10,6
"DLW",67,3,1,16,15,0,10,5
"DLW",68,3,1,1,15,13,2,0
"DLW",68,3,1,10,15,13,2,1
"DLW",69,3,1,8,6,5,1,1
"EC",61,3,1,9,15,1,10,7
"EC",61,3,1,16,15,9,6,2
"EC",62,3,1,10,15,1,10,9
"EC",62,3,1,17,2,1,1,0
"EC",63,3,1,2,15,5,9,1
"EC",63,3,1,12,14,4,10,2
"EC",64,3,1,8,15,12,3,2
"EC",64,3,1,15,15,8,7,7
"EC",65,3,1,6,2,0,2,1
"EC",66,3,1,1,15,10,5,0
"EC",66,3,1,11,15,11,4,2
"EC",67,3,1,3,15,6,9,2
"EC",67,3,1,13,15,10,5,1
"EC",68,3,1,4,15,7,8,5
"EC",68,3,1,14,8,6,2,1
"EC",69,3,1,7,10,2,7,2
"EC",70,3,1,5,15,8,7,6
"FR",61,3,1,7,15,11,4,1
"FR",61,3,1,16,15,12,3,0
"FR",62,3,1,5,15,14,1,0
"FR",62,3,1,14,15,11,4,1
"FR",63,3,1,10,15,7,8,4
"FR",64,3,1,4,15,13,2,2
"FR",64,3,1,13,14,13,1,0
"FR",65,3,1,3,15,11,1,0
"FR",65,3,1,12,5,4,1,1
"FR",66,3,1,9,15,10,5,5
"FR",66,3,1,17,15,13,2,1
"FR",67,3,1,6,15,11,3,0
"FR",67,3,1,15,7,3,4,2
"FR",68,3,1,2,15,10,5,2
"FR",68,3,1,11,15,11,4,0
"FR",69,3,1,1,3,1,2,1
"FR",70,3,1,8,15,8,7,5
"GCN",61,3,1,10,15,10,5,4
"GCN",62,3,1,4,15,5,10,8
"GCN",62,3,1,13,15,10,5,1
"GCN",63,3,1,9,15,6,9,9
"GCN",64,3,1,7,14,11,3,2
"GCN",64,3,1,16,15,13,2,0
"GCN",65,3,1,5,15,4,10,8
"GCN",65,3,1,14,15,12,3,3
"GCN",66,3,1,3,15,11,4,3
"GCN",66,3,1,12,12,7,5,2
"GCN",67,3,1,6,15,4,10,7
"GCN",67,3,1,15,15,12,3,2
"GCN",68,3,1,2,15,11,4,2
"GCN",68,3,1,11,15,11,4,1
"GCN",69,3,1,1,12,4,8,1
"GCN",70,3,1,8,15,13,2,2
"GCN",70,3,1,17,15,14,1,0
"KYE",61,3,1,7,15,3,10,8
"KYE",62,3,1,6,15,8,7,5
"KYE",62,3,1,16,15,9,6,3
"KYE",63,3,1,3,15,8,7,5
"KYE",63,3,1,13,15,9,6,1
"KYE",64,3,1,10,14,1,10,8
"KYE",65,3,1,8,15,5,8,4
"KYE",66,3,1,4,15,3,10,10
"KYE",66,3,1,14,15,10,5,4
"KYE",67,3,1,5,15,8,7,5
"KYE",67,3,1,15,15,12,3,2
"KYE",68,3,1,2,15,4,10,10
"KYE",68,3,1,12,15,9,6,4
"KYE",69,3,1,9,15,11,4,4
"KYE",69,3,1,17,15,14,1,0
"KYE",70,3,1,1,15,6,9,8
"KYE",70,3,1,11,15,11,4,3
"LCE",61,3,1,3,15,13,2,2
"LCE",61,3,1,12,15,15,0,NA
"LCE",62,3,1,4,15,9,6,6
"LCE",62,3,1,13,15,11,4,2
"LCE",63,3,1,8,15,9,6,5
"LCE",64,3,1,7,15,8,7,6
"LCE",64,3,1,16,15,3,10,7
"LCE",64,3,1,17,15,11,4,1
"LCE",65,3,1,6,15,4,10,10
"LCE",65,3,1,15,15,13,2,1
"LCE",67,3,1,5,15,3,10,10
"LCE",67,3,1,14,15,10,5,3
"LCE",68,3,1,9,15,5,10,9
"LCE",69,3,1,2,15,12,3,3
"LCE",69,3,1,11,15,7,8,8
"LCE",70,3,1,1,15,14,1,1
"LCE",70,3,1,10,15,4,10,10
"LCW",61,3,1,4,15,9,6,5
"LCW",61,3,1,12,15,14,1,0
"LCW",62,3,1,2,15,13,2,1
"LCW",62,3,1,7,8,6,2,0
"LCW",63,3,1,1,15,8,6,2
"LCW",63,3,1,6,15,11,4,3
"LCW",63,3,1,10,15,6,9,7
"LCW",64,3,1,3,15,6,8,2
