"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"OKRE",11,1,1,15,15,3,10,10
"OKRE",14,1,1,2,14,4,10,10
"OKRE",15,1,1,5,15,0,10,10
"OKRE",15,1,1,12,15,4,11,11
"OKRE",20,1,1,6,15,4,10,9
"OKRE",20,1,1,16,15,4,10,9
"OKRE",21,1,1,10,15,5,10,5
"OKRW",4,1,1,6,15,0,10,9
"OKRW",4,1,1,15,2,1,1,1
"OKRW",9,1,1,10,15,10,5,0
"OKRW",10,1,1,1,15,7,8,7
"OKRW",11,1,1,9,15,3,11,10
"OKRW",11,1,1,11,15,8,7,6
"OKRW",16,1,1,5,15,4,10,10
"OKRW",16,1,1,14,15,8,7,7
"OKRW",18,1,1,8,15,0,15,15
"OKRW",18,1,1,16,15,6,8,7
"OKRW",25,1,1,3,15,4,10,9
"OKRW",25,1,1,4,8,0,8,3
"OKRW",25,1,1,12,15,9,6,4
"OKRW",29,1,1,2,3,0,3,0
